ID;HTS;NRES;IFM;ILM;ICH;SEXO;AUTLIC;NSET;TVIA1;TVIA2;TVIA3;TVIA4;TVIA5;TVIA6;TVIA7;TVIA8;TVIA9;TCAM1;TCAM2;TCAM3;TCAM4;TCAM5;TCAM6;TCAM7;TCAM8;   ;TVIB1;TVIB2;TVIB3;TVIB4;TVIB5;TVIB6;TVIB7;TVIB8;TVIB9;D1;D2;TESP3;TESP4;TESP5;TESP6;TESP7;TESP8;TESP9;CTOT1;CTOT2;CTOT3;CTOT4;CTOT5;CTOT6;CTOT7;CTOT8;CTOT9;HORA;NOD1;NOD2;JEFH;NAUT;NEST;NTRAB;LTOT;TVIA6A;TVIA6M;TVIA7A;TVIA7M;TVIA8T;TVIA8M;TVIA9B;TVIA9M;DISP1;DISP2;DISP3;DISP4;DISP5;DISP6;DISP7;DISP8;DISP9;LasCondes
176;44;7;30000;26000;5;0;0;3;0;0;0;0;725;0;0;607;778;0;0;0;0;497;0;0;497;526;0;0;0;0;885;0;0;607;778;0;0;0;0;12;0;0;216;660;0;0;0;0;40;0;0;65;65;715;308;512;1;0;1;2;0;0;0;0;0;175;432;406;372;0;0;0;0;1;0;0;1;1;0
176;45;4;140000;140000;6;1;1;8;815;815;779;0;1544;898;906;834;1134;108;108;403;0;403;540;540;418;418;627;627;672;0;1206;898;906;834;1134;1;0;30;0;36;78;78;108;108;120;10;60;0;20;52;15;44;34;745;503;700;1;1;2;1;1;286;612;294;612;222;612;522;612;1;1;1;0;1;1;1;1;1;1
177;40;6;53000;45000;5;0;0;3;0;0;0;0;823;0;0;607;778;0;0;0;0;569;0;0;425;454;0;0;0;0;885;0;0;607;778;0;0;0;0;12;0;0;216;660;0;0;0;0;40;0;0;65;65;730;308;512;0;0;2;2;0;0;0;0;0;175;432;406;372;0;0;0;0;1;0;0;1;1;0
177;40;3;140000;40000;7;0;0,5;6;0;987;977;0;1991;0;2270;1238;1468;0;108;720;0;547;0;468;756;756;0;987;896;0;1810;0;2270;1238;1468;1;0;60;0;168;0;78;138;174;0;18;45;0;20;0;13;48;33;730;119;700;0;1;2;2;2;0;0;1364;906;332;906;562;906;0;1;1;0;1;0;1;1;1;1
178;44;6;34000;34000;5;0;0;3;0;0;0;0;991;0;0;607;778;0;0;0;0;497;0;0;425;454;0;0;0;0;885;0;0;607;778;0;0;0;0;12;0;0;216;660;0;0;0;0;40;0;0;65;65;820;308;512;1;0;3;1;1;0;0;0;0;175;432;406;372;0;0;0;0;1;0;0;1;1;0
178;48;1;140000;140000;1;1;1;8;828;828;960;0;1709;1128;1821;1110;1158;108;108;662;0;490;468;468;698;698;845;845;762;0;1554;1128;1821;1110;1158;1;0;60;0;168;78;78;138;120;34;17;60;0;20;38;13;48;33;750;114;700;1;1;0;1;1;222;906;915;906;204;906;546;612;1;1;1;0;1;1;1;1;1;1
179;44;3;36000;36000;5;0;0;3;0;0;0;0;752;0;0;607;778;0;0;0;0;259;0;0;425;454;0;0;0;0;855;0;0;607;778;0;0;0;0;180;0;0;216;660;0;0;0;0;40;0;0;65;65;700;308;512;1;0;2;1;0;0;0;0;0;175;432;406;372;0;0;0;0;1;0;0;1;1;0
179;48;6;50000;50000;7;1;0,5;8;1052;1052;1243;0;1887;1075;1502;984;1074;360;360;450;0;450;468;468;752;752;974;974;1100;0;1522;1075;1502;984;1074;1;0;48;0;54;78;78;125;102;110;30;60;0;20;22;13;43;33;745;409;700;1;1;3;1;2;169;906;596;906;78;906;168;906;1;1;1;0;1;1;1;1;1;1
180;45;6;240000;80000;6;1;0,6;8;858;937;999;0;1124;925;1698;868;892;216;0;547;0;562;418;346;677;677;802;875;970;0;1102;925;1698;868;892;0;1;78;0;30;192;192;270;204;135;52;80;0;40;96;23;62;62;745;411;511;1;3;1;5;5;487;438;984;714;154;714;178;714;1;1;1;0;1;1;1;1;1;0
180;45;4;60000;60000;2;1;0;5;0;1325;1178;0;2362;0;0;1429;1709;0;576;511;0;454;0;0;662;662;0;1325;1081;0;2147;0;0;1429;1709;0;0;60;0;168;0;0;138;174;0;40;60;0;20;0;0;48;31;730;122;700;1;0;3;1;0;0;0;0;0;523;906;803;906;0;1;1;0;1;0;0;1;1;1
